Order_ID,Month,Month_No,Region,Salesperson,Product,Units_Sold,Unit_Price,Revenue,Target_Units,Target_Revenue,Achievement_%
ORD1001,Jan,1,North,Priya Sharma,Laptop,23,57700,1327100,50,2750000,0.46
ORD1002,Jan,1,North,Neha Joshi,Mobile,48,20400,979200,80,1760000,0.6
ORD1003,Jan,1,North,Priya Sharma,Tablet,89,32100,2856900,40,1400000,2.225
ORD1004,Jan,1,North,Deepak Nair,Accessories,24,3200,76800,150,525000,0.16
ORD1005,Jan,1,North,Neha Joshi,Headphones,49,8000,392000,60,480000,0.8167
ORD1006,Jan,1,South,Ravi Kumar,Laptop,45,57400,2583000,50,2750000,0.9
ORD1007,Jan,1,South,Deepak Nair,Mobile,48,21800,1046400,80,1760000,0.6
ORD1008,Jan,1,South,Suresh Patel,Tablet,20,36800,736000,40,1400000,0.5
ORD1009,Jan,1,South,Amit Singh,Accessories,74,3400,251600,150,525000,0.4933
ORD1010,Jan,1,South,Amit Singh,Headphones,47,8700,408900,60,480000,0.7833
ORD1011,Jan,1,East,Pooja Rao,Laptop,33,50500,1666500,50,2750000,0.66
ORD1012,Jan,1,East,Priya Sharma,Mobile,65,23500,1527500,80,1760000,0.8125
ORD1013,Jan,1,East,Suresh Patel,Tablet,25,36600,915000,40,1400000,0.625
ORD1014,Jan,1,East,Priya Sharma,Accessories,68,3200,217600,150,525000,0.4533
ORD1015,Jan,1,East,Suresh Patel,Headphones,66,8100,534600,60,480000,1.1
ORD1016,Jan,1,West,Priya Sharma,Laptop,25,56800,1420000,50,2750000,0.5
ORD1017,Jan,1,West,Suresh Patel,Mobile,30,23600,708000,80,1760000,0.375
ORD1018,Jan,1,West,Priya Sharma,Tablet,68,33400,2271200,40,1400000,1.7
ORD1019,Jan,1,West,Pooja Rao,Accessories,40,3400,136000,150,525000,0.2667
ORD1020,Jan,1,West,Neha Joshi,Headphones,54,8300,448200,60,480000,0.9
ORD1021,Feb,2,North,Priya Sharma,Laptop,41,55400,2271400,50,2750000,0.82
ORD1022,Feb,2,North,Neha Joshi,Mobile,40,21800,872000,80,1760000,0.5
ORD1023,Feb,2,North,Suresh Patel,Tablet,48,36300,1742400,40,1400000,1.2
ORD1024,Feb,2,North,Ravi Kumar,Accessories,49,3700,181300,150,525000,0.3267
ORD1025,Feb,2,North,Pooja Rao,Headphones,71,7600,539600,60,480000,1.1833
ORD1026,Feb,2,South,Neha Joshi,Laptop,60,51800,3108000,50,2750000,1.2
ORD1027,Feb,2,South,Anita Gupta,Mobile,70,23700,1659000,80,1760000,0.875
ORD1028,Feb,2,South,Anita Gupta,Tablet,38,33400,1269200,40,1400000,0.95
ORD1029,Feb,2,South,Neha Joshi,Accessories,88,3300,290400,150,525000,0.5867
ORD1030,Feb,2,South,Deepak Nair,Headphones,71,7800,553800,60,480000,1.1833
ORD1031,Feb,2,East,Amit Singh,Laptop,85,54900,4666500,50,2750000,1.7
ORD1032,Feb,2,East,Ravi Kumar,Mobile,34,20500,697000,80,1760000,0.425
ORD1033,Feb,2,East,Amit Singh,Tablet,74,35700,2641800,40,1400000,1.85
ORD1034,Feb,2,East,Deepak Nair,Accessories,68,3600,244800,150,525000,0.4533
ORD1035,Feb,2,East,Anita Gupta,Headphones,87,7600,661200,60,480000,1.45
ORD1036,Feb,2,West,Ravi Kumar,Laptop,34,57000,1938000,50,2750000,0.68
ORD1037,Feb,2,West,Suresh Patel,Mobile,63,20300,1278900,80,1760000,0.7875
ORD1038,Feb,2,West,Deepak Nair,Tablet,40,34700,1388000,40,1400000,1
ORD1039,Feb,2,West,Suresh Patel,Accessories,84,3700,310800,150,525000,0.56
ORD1040,Feb,2,West,Priya Sharma,Headphones,58,8500,493000,60,480000,0.9667
ORD1041,Mar,3,North,Neha Joshi,Laptop,39,53600,2090400,50,2750000,0.78
ORD1042,Mar,3,North,Amit Singh,Mobile,89,24000,2136000,80,1760000,1.1125
ORD1043,Mar,3,North,Ravi Kumar,Tablet,61,34900,2128900,40,1400000,1.525
ORD1044,Mar,3,North,Priya Sharma,Accessories,66,3800,250800,150,525000,0.44
ORD1045,Mar,3,North,Suresh Patel,Headphones,50,7300,365000,60,480000,0.8333
ORD1046,Mar,3,South,Priya Sharma,Laptop,30,57600,1728000,50,2750000,0.6
ORD1047,Mar,3,South,Priya Sharma,Mobile,88,23200,2041600,80,1760000,1.1
ORD1048,Mar,3,South,Amit Singh,Tablet,80,38100,3048000,40,1400000,2
ORD1049,Mar,3,South,Amit Singh,Accessories,53,3500,185500,150,525000,0.3533
ORD1050,Mar,3,South,Deepak Nair,Headphones,47,8700,408900,60,480000,0.7833
ORD1051,Mar,3,East,Neha Joshi,Laptop,59,53900,3180100,50,2750000,1.18
ORD1052,Mar,3,East,Pooja Rao,Mobile,76,23800,1808800,80,1760000,0.95
ORD1053,Mar,3,East,Anita Gupta,Tablet,35,33200,1162000,40,1400000,0.875
ORD1054,Mar,3,East,Priya Sharma,Accessories,63,3200,201600,150,525000,0.42
ORD1055,Mar,3,East,Neha Joshi,Headphones,48,7200,345600,60,480000,0.8
